Brazil_ydata;Brazil_fitted;Spain_ydata;Spain_fitted;Germany_ydata;Germany_fitted
3359570.0;3385450.6593265324;305767.0;306907.6908614928;212828;213120.9874506712
3407354.0;3420154.1077027423;309855.0;310409.10606859566;214113;214077.84041208666
3456652.0;3455213.0921869525;314362.0;312901.17221031984;215039;215038.95825391653
3501975.0;3490631.25112054;314362.0;314355.71741337306;216196;216004.3596195611
3532330.0;3526412.2599814734;314362.0;314758.3715547495;216903;216974.0633166839
3582362.0;3582362.0;322980.0;322980.0;217288;217288.0
3605783.0;3616243.000218395;326612.0;328194.1654126148;218508;218519.85801060696
3622861.0;3650444.4321666607;329784.0;332777.10159071337;219540;219752.0008215543
3669995.0;3684969.3271631286;337334.0;336693.0012311167;220859;220984.31820096227
3717156.0;3719820.7442898094;342813.0;339911.2642050789;222281;222216.6989281768
3761391.0;3755001.7715745643;342813.0;342407.0110036969;223791;223449.03072294436
3804803.0;3790515.526239248;342813.0;344161.49877402594;224488;224681.20020067412
;;359082.0;359082.0;225007;225007.0
;;364196.0;366493.05802299024;226700;226661.30984460228
;;370867.0;372918.27453824464;228120;228259.49574791273
;;377906.0;378286.5482949527;229706;229799.7808064613
;;386054.0;382538.4177989426;231292;231280.4386330294
;;386054.0;385627.47336666635;233029;232699.79729390657
;;386054.0;387521.4577567116;233861;234056.24330596166
;;405436.0;405436.0;234494;234494.0
;;412553.0;413377.2727141098;236122;236029.8322659704
;;419849.0;421474.090884344;237583;237558.33710714823
;;429507.0;429729.50135282305;239010;239079.1374156146
;;439286.0;438146.61046722706;240571;240591.85403456862
;;;;242126;242096.10597289196
