date;Italy;US;Spain;Germany;Korea, South;Brazil;Pakistan;South Africa
2020-03-19;41035;14157;17963;15320;8565;621;501;150
2020-03-20;47021;19479;20410;19848;8652;793;730;202
2020-03-21;53578;25825;25374;22213;8799;1021;776;240
2020-03-22;59138;33761;28768;24873;8961;1546;875;274
2020-03-23;63927;43850;35136;29056;8961;1924;972;402
2020-03-24;69176;54112;39885;32986;9037;2247;1063;554
2020-03-25;74386;66055;49515;37323;9137;2554;1201;709
2020-03-26;80589;84091;57786;43938;9241;2985;1373;927
2020-03-27;86498;102276;65719;50871;9332;3417;1495;1170
2020-03-28;92472;122069;73235;57695;9478;3904;1597;1187
2020-03-29;97689;141205;80110;62095;9583;4256;1717;1280
2020-03-30;101739;162707;87956;66885;9661;4579;1938;1326
2020-03-31;105792;188724;95923;71808;9786;5717;2118;1353
2020-04-01;110574;214205;104118;77872;9887;6836;2421;1380
2020-04-02;115242;244610;112065;84794;9976;8044;2686;1462
2020-04-03;119827;276547;119199;91159;10062;9056;2818;1505
2020-04-04;124632;309699;126168;96092;10156;10360;3157;1585
2020-04-05;128948;337573;131646;100123;10237;11130;3766;1655
2020-04-06;132547;367215;136675;103374;10284;12161;4035;1686
2020-04-07;135586;397992;141942;107663;10331;14034;4263;1749
2020-04-08;139422;429686;148220;113296;10384;16170;4489;1845
2020-04-09;143626;464442;153222;118181;10423;18092;4695;1934
2020-04-10;147577;497943;158273;122171;10450;19638;5011;2003
2020-04-11;152271;527969;163027;124908;10480;20727;5230;2028
2020-04-12;156363;556522;166831;127854;10512;22192;5496;2173
2020-04-13;159516;581813;170099;130072;10537;23430;5837;2272
2020-04-14;162488;608878;172541;131359;10564;25262;6383;2415
2020-04-15;165155;637974;177644;134753;10591;28320;6919;2506
2020-04-16;168941;669272;184948;137698;10613;30425;7025;2605
2020-04-17;172434;701996;190839;141397;10635;33682;7638;2783
2020-04-18;175925;730337;191726;143342;10653;36658;8348;3034
2020-04-19;178972;756375;198674;145184;10661;38654;8418;3158
2020-04-20;181228;783716;200210;147065;10674;40743;9565;3300
2020-04-21;183957;809318;204178;148291;10683;43079;10076;3465
2020-04-22;187327;837422;208389;150648;10694;45757;11155;3635
2020-04-23;189973;871617;213024;153129;10708;50036;11940;3953
2020-04-24;192994;907908;202990;154999;10718;54043;12723;4220
2020-04-25;195351;940829;205905;156513;10728;59324;13328;4361
2020-04-26;197675;968518;207634;157770;10738;63100;13915;4546
2020-04-27;199414;990983;209465;158758;10752;67446;14612;4793
2020-04-28;201505;1015518;210773;159912;10761;73235;15525;4996
2020-04-29;203591;1043038;212917;161539;10765;79685;16817;5350
2020-04-30;205463;1072667;213435;163009;10774;87187;18114;5647
2020-05-01;207428;1106829;215216;164077;10780;92202;19103;5951
2020-05-02;209328;1136024;216582;164967;10793;97100;20084;6336
2020-05-03;210717;1161611;217466;165664;10801;101826;20941;6783
2020-05-04;211938;1184086;218011;166152;10804;108620;22049;7220
2020-05-05;213013;1208271;219329;167007;10806;115455;24073;7572
2020-05-06;214457;1233527;220325;168162;10810;126611;24644;7808
2020-05-07;215858;1261409;221447;169430;10822;135773;26435;8232
2020-05-08;217185;1288587;222857;170588;10840;146894;28736;8895
2020-05-09;218268;1314320;223578;171324;10874;156061;30334;9420
2020-05-10;219070;1334084;224350;171879;10909;162699;32081;10015
2020-05-11;219814;1352962;227436;172576;10936;169594;34336;10652
2020-05-12;221216;1375152;228030;173171;10962;178214;35298;11350
2020-05-13;222104;1396110;228691;174098;10991;190137;35788;12074
2020-05-14;223096;1423727;229540;174478;11018;203165;38799;12739
2020-05-15;223885;1449027;230183;175233;11037;220291;38799;13524
2020-05-16;224760;1474128;230698;175752;11050;233511;40151;14355
2020-05-17;225435;1493132;230698;176369;11065;241080;42125;15515
2020-05-18;225886;1514901;231606;176551;11078;255368;43966;16433
2020-05-19;226699;1535350;232037;177778;11110;271885;45898;17200
2020-05-20;227364;1559157;232555;178473;11122;291579;48091;18003
2020-05-21;228006;1584512;233037;179021;11142;310087;50694;19137
2020-05-22;228658;1608653;234824;179710;11165;330890;52437;20125
2020-05-23;229327;1630476;235290;179986;11190;347398;54601;21343
2020-05-24;229858;1651289;235772;180328;11206;363211;56349;22583
2020-05-25;230158;1670280;235400;180600;11225;374898;57705;23615
2020-05-26;230555;1689163;236259;181200;11265;391222;59151;24264
2020-05-27;231139;1707445;236259;181524;11344;411821;61227;25937
2020-05-28;231732;1730260;237906;182196;11402;438238;64028;27403
2020-05-29;232248;1754764;238564;182922;11441;465166;66457;29240
2020-05-30;232664;1779214;239228;183189;11468;498440;69496;30967
2020-05-31;232997;1799124;239479;183410;11503;514849;72460;32683
2020-06-01;233197;1816479;239638;183594;11541;526447;76398;34357
2020-06-02;233515;1837374;239932;183879;11590;555383;80463;35812
2020-06-03;233836;1857332;240326;184121;11629;584016;85264;37525
2020-06-04;234013;1878683;240660;184472;11668;614941;89249;40792
2020-06-05;234531;1903907;240978;184924;11719;645771;93983;43434
2020-06-06;234801;1926639;241310;185450;11776;672846;98943;45973
2020-06-07;234998;1944370;241550;185750;11814;691758;103671;48285
2020-06-08;235278;1961785;241717;186109;11852;707412;108317;50879
2020-06-09;235561;1979912;241966;186506;11902;739503;113702;52991
2020-06-10;235763;2000706;242280;186522;11947;772416;119536;55421
2020-06-11;236142;2023656;242707;186691;12003;802828;125933;58568
2020-06-12;236305;2048986;243209;187226;12051;828810;125933;61927
2020-06-13;236651;2074542;243605;187267;12085;850514;132405;65736
2020-06-14;236989;2094366;243928;187518;12121;867624;144478;70038
2020-06-15;237290;2114026;244109;187682;12155;888271;148921;73533
2020-06-16;237500;2137731;244328;188252;12198;923189;154760;76334
2020-06-17;237828;2163290;244683;188604;12257;955377;160118;80412
2020-06-18;238159;2191099;245268;189817;12306;978142;165062;83890
2020-06-19;238011;2222579;245575;190299;12373;1032913;171666;87715
2020-06-20;238275;2255328;245938;190670;12421;1067579;176617;92681
2020-06-21;238499;2281767;246272;191272;12438;1083341;181088;97302
2020-06-22;238720;2312303;246504;191768;12484;1106470;185034;101590
2020-06-23;238833;2347491;246752;192480;12535;1145906;188926;106108
2020-06-24;239410;2382426;247086;192871;12563;1188631;192970;111796
2020-06-25;239706;2422299;247486;193371;12602;1228114;195745;118375
2020-06-26;239961;2467554;247905;194036;12653;1274974;198883;124590
2020-06-27;240136;2510259;248469;194458;12715;1313667;202955;131800
2020-06-28;240310;2549864;248770;194693;12757;1344143;206512;138134
2020-06-29;240436;2590668;248970;195042;12800;1368195;209337;144264
2020-06-30;240578;2636414;249271;195418;12850;1402041;213470;151209
2020-07-01;240760;2687588;249659;195893;12904;1448753;217809;159333
2020-07-02;240961;2742049;250103;196370;12967;1496858;221896;168061
2020-07-03;241184;2795361;250545;196780;13030;1539081;221896;177124
2020-07-04;241419;2841241;250545;197198;13091;1577004;225283;187977
2020-07-05;241611;2891124;250545;197523;13137;1603055;231818;196750
2020-07-06;241819;2936077;251789;198064;13181;1623284;234509;205721
2020-07-07;241956;2996098;252130;198343;13244;1668589;237489;215855
2020-07-08;242149;3054699;252513;198699;13293;1713160;240848;224665
2020-07-09;242363;3117946;253056;199001;13338;1755779;243599;238339
2020-07-10;242639;3185737;253908;199332;13373;1800827;246351;250687
2020-07-11;242827;3245925;253908;199709;13417;1839850;248872;264184
2020-07-12;243061;3304942;253908;199919;13479;1864681;251625;276242
2020-07-13;243230;3364157;255953;200180;13512;1884967;253604;287796
2020-07-14;243344;3431574;256619;200456;13551;1926824;255769;298292
2020-07-15;243506;3498902;257494;200890;13612;1966748;257914;311049
2020-07-16;243736;3576157;258855;201450;13672;2012151;257914;324221
2020-07-17;243967;3647715;260255;202045;13711;2046328;261917;337594
2020-07-18;244216;3711413;260255;202426;13745;2074860;263496;350879
2020-07-19;244434;3773260;260255;202735;13771;2098389;265083;364328
2020-07-20;244624;3834677;264836;203325;13816;2118646;266096;373628
2020-07-21;244752;3899211;266194;203717;13879;2159654;267428;381798
2020-07-22;245032;3970121;267551;204276;13938;2227514;269191;394948
2020-07-23;245338;4038816;270166;204881;13979;2287475;270400;408052
2020-07-24;245590;4112531;272421;205623;14092;2343366;271887;421996
2020-07-25;245864;4178970;272421;206278;14150;2394513;273113;434200
2020-07-26;246118;4233923;272421;206667;14175;2419091;273113;445433
2020-07-27;246286;4290337;278782;207112;14203;2442375;274289;452529
2020-07-28;246488;4356206;280610;207707;14251;2483191;275225;459761
2020-07-29;246776;4426982;282641;208546;14269;2552265;276288;471123
2020-07-30;247158;4495015;285430;209535;14305;2610102;277402;482169
2020-07-31;247537;4562107;288522;210399;14336;2662485;278305;493183
2020-08-01;247832;4620592;288522;211005;14366;2707877;278305;503290
2020-08-02;248070;4668172;288522;211220;14389;2733677;279699;511485
2020-08-03;248229;4713540;297054;212111;14423;2750318;280461;516862
2020-08-04;248419;4771080;302814;212828;14456;2801921;280461;521318
2020-08-05;248803;4823890;305767;214113;14499;2859073;281136;529877
2020-08-06;249204;4883582;309855;215039;14519;2912212;281863;538184
2020-08-07;249756;4941755;314362;216196;14562;2962442;282645;545476
2020-08-08;250103;4997929;314362;216903;14598;3012412;283487;553188
2020-08-09;250566;5044864;314362;217288;14626;3035422;284121;559859
2020-08-10;250825;5094400;322980;218508;14660;3057470;284660;563598
2020-08-11;251237;5141208;326612;219540;14714;3109630;285191;566109
2020-08-12;251713;5197411;329784;220859;14770;3164785;285921;568919
2020-08-13;252235;5248958;337334;222281;14873;3224876;286674;572865
2020-08-14;252809;5313252;342813;223791;15039;3275520;287300;579140
2020-08-15;253438;5361165;342813;224488;15318;3317096;288047;583653
2020-08-16;253915;5403213;342813;225007;15515;3340197;289215;587345
2020-08-17;254235;5438325;359082;226700;15761;3359570;289215;589886
2020-08-18;254636;5483388;364196;228120;16058;3407354;289832;592144
2020-08-19;255278;5529824;370867;229706;16346;3456652;290445;596060
2020-08-20;256118;5573847;377906;231292;16670;3501975;290958;599940
2020-08-21;257065;5622470;386054;233029;17002;3532330;291588;603338
2020-08-22;258136;5667070;386054;233861;17399;3582362;292174;607045
2020-08-23;259345;5701645;386054;234494;17665;3605783;293261;609773
2020-08-24;260298;5739536;405436;236122;17945;3622861;293261;611450
2020-08-25;261174;5777710;412553;237583;18265;3669995;293711;613017
2020-08-26;262540;5821819;419849;239010;18706;3717156;294193;615701
2020-08-27;263949;5867785;429507;240571;19077;3761391;294638;618286
2020-08-28;265409;5913941;439286;242126;19400;3804803;295053;620132
